text,label
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
You've won a $500 Amazon gift card. Click here to claim!,smish
Urgent: Your account is locked. Verify now at link below.,smish
Claim your free iPhone now! Limited time offer!,smish
Your parcel is on hold. Provide personal info to release.,smish
Final notice: update your billing info or service will be cut.,smish
Your bank account is at risk. Act now to secure it.,smish
Exclusive deal: Redeem free vacation today.,smish
Click here to access your reward points before expiry.,smish
Your Netflix subscription is suspended. Login to restore.,smish
Security alert: unusual login detected. Reset now.,smish
